0.01	0.024
0.02	0.032
0.03	0.04
0.04	0.048
0.05	0.056
0.06	0.056
0.07	0.064
0.08	0.064
0.09	0.072
0.1	0.072
0.11	0.08
0.12	0.08
0.13	0.08
0.14	0.088
0.15	0.088
0.16	0.088
0.17	0.096
0.18	0.096
0.19	0.096
0.2	0.096
0.21	0.104
0.22	0.104
0.23	0.104
0.24	0.104
0.25	0.104
0.26	0.112
0.27	0.112
0.28	0.112
0.29	0.112
0.3	0.112
0.31	0.112
0.32	0.112
0.33	0.12
0.34	0.12
0.35	0.12
0.36	0.12
0.37	0.12
0.38	0.12
0.39	0.12
0.4	0.12
0.41	0.12
0.42	0.12
0.43	0.12
0.44	0.12
0.45	0.12
0.46	0.12
0.47	0.12
0.48	0.12
0.49	0.12
0.5	0.12
0.51	0.12
0.52	0.12
0.53	0.12
0.54	0.12
0.55	0.12
0.56	0.12
0.57	0.12
0.58	0.12
0.59	0.12
0.6	0.12
0.61	0.12
0.62	0.12
0.63	0.12
0.64	0.12
0.65	0.12
0.66	0.12
0.67	0.12
0.68	0.112
0.69	0.112
0.7	0.112
0.71	0.112
0.72	0.112
0.73	0.112
0.74	0.112
0.75	0.104
0.76	0.104
0.77	0.104
0.78	0.104
0.79	0.104
0.8	0.096
0.81	0.096
0.82	0.096
0.83	0.096
0.84	0.088
0.85	0.088
0.86	0.088
0.87	0.08
0.88	0.08
0.89	0.08
0.9	0.072
0.91	0.072
0.92	0.064
0.93	0.064
0.94	0.056
0.95	0.056
0.96	0.048
0.97	0.04
0.98	0.032
0.99	0.024
