0.01	0.0112
0.02	0.016
0.03	0.0192
0.04	0.0224
0.05	0.024
0.06	0.0256
0.07	0.0288
0.08	0.0304
0.09	0.032
0.1	0.0336
0.11	0.0352
0.12	0.0368
0.13	0.0368
0.14	0.0384
0.15	0.04
0.16	0.04
0.17	0.0416
0.18	0.0432
0.19	0.0432
0.2	0.0448
0.21	0.0448
0.22	0.0464
0.23	0.0464
0.24	0.048
0.25	0.048
0.26	0.048
0.27	0.0496
0.28	0.0496
0.29	0.0496
0.3	0.0512
0.31	0.0512
0.32	0.0512
0.33	0.0528
0.34	0.0528
0.35	0.0528
0.36	0.0528
0.37	0.0528
0.38	0.0544
0.39	0.0544
0.4	0.0544
0.41	0.0544
0.42	0.0544
0.43	0.0544
0.44	0.0544
0.45	0.0544
0.46	0.056
0.47	0.056
0.48	0.056
0.49	0.056
0.5	0.056
0.51	0.056
0.52	0.056
0.53	0.056
0.54	0.056
0.55	0.0544
0.56	0.0544
0.57	0.0544
0.58	0.0544
0.59	0.0544
0.6	0.0544
0.61	0.0544
0.62	0.0544
0.63	0.0528
0.64	0.0528
0.65	0.0528
0.66	0.0528
0.67	0.0528
0.68	0.0512
0.69	0.0512
0.7	0.0512
0.71	0.0496
0.72	0.0496
0.73	0.0496
0.74	0.048
0.75	0.048
0.76	0.048
0.77	0.0464
0.78	0.0464
0.79	0.0448
0.8	0.0448
0.81	0.0432
0.82	0.0432
0.83	0.0416
0.84	0.04
0.85	0.04
0.86	0.0384
0.87	0.0368
0.88	0.0368
0.89	0.0352
0.9	0.0336
0.91	0.032
0.92	0.0304
0.93	0.0288
0.94	0.0256
0.95	0.024
0.96	0.0224
0.97	0.0192
0.98	0.016
0.99	0.0112
